artist_name,is_explicit,danceability,valence,energy,loudness,acousticness,liveness,speechiness,key,tempo,mode,duration_ms,time_signature
2,FALSE,0.705,0.864,0.796,-6.845,0.0708,0.388,0.267,7,166.042,1,210453,4
3,FALSE,0.646,0.681,0.77,-6.596,0.00249,0.0715,0.226,2,99.165,0,236133,4
1,FALSE,0.588,0.659,0.461,-8.686,0.237,0.0913,0.161,6,200.053,0,208573,4
2,FALSE,0.655,0.791,0.488,-9.17,0.0825,0.221,0.22,1,91.025,1,244827,4
2,FALSE,0.736,0.971,0.651,-8.933,0.00265,0.0838,0.124,6,166.572,1,222600,3
1,FALSE,0.711,0.782,0.454,-6.485,0.125,0.071,0.0904,0,74.928,0,260200,4
1,FALSE,0.75,0.536,0.458,-9.092,0.226,0.137,0.0803,1,83.61,1,301133,4
1,FALSE,0.662,0.551,0.374,-11.19,0.114,0.249,0.34,9,112.694,1,259067,4
2,FALSE,0.447,0.411,0.395,-9.828,0.153,0.133,0.225,7,76.758,1,298200,3
1,FALSE,0.568,0.103,0.282,-10.225,0.158,0.182,0.0313,10,112.708,1,360493,3
2,FALSE,0.493,0.697,0.527,-9.752,0.167,0.288,0.33,10,103.451,1,219200,3
1,FALSE,0.609,0.459,0.407,-8.026,0.345,0.19,0.0808,6,99.982,1,293133,4
1,FALSE,0.65,0.542,0.0452,-20.854,0.485,0.121,0.7,0,152.48,1,16373,1
1,FALSE,0.388,0.32,0.265,-12.712,0.901,0.194,0.0499,11,137.24,0,163933,1
1,FALSE,0.469,0.448,0.446,-9.237,0.255,0.182,0.0753,1,123.46,0,298333,4
1,TRUE,0.725,0.353,0.709,-6.514,0.588,0.135,0.072,2,110.024,1,235636,4
1,FALSE,0.743,0.411,0.528,-12.633,0.386,0.126,0.0508,2,109.976,1,235636,4
1,TRUE,0.736,0.451,0.372,-7.636,0.804,0.135,0.263,7,109.843,1,228254,4
1,FALSE,0.525,0.382,0.453,-7.047,0.382,0.0859,0.0634,8,127.246,1,233521,4
1,TRUE,0.494,0.512,0.849,-6.438,0.0748,0.791,0.343,0,181.428,0,262941,5
2,FALSE,0.7,0.525,0.607,-6.303,0.469,0.328,0.043,2,116.036,0,274138,4
2,TRUE,0.784,0.204,0.7,-5.289,0.0112,0.163,0.0396,1,126.015,1,260962,4
1,TRUE,0.66,0.65,0.688,-6.34,0.434,0.489,0.0564,7,118.05,1,249407,4
1,TRUE,0.642,0.545,0.273,-8.079,0.733,0.182,0.169,7,124.154,1,225389,3
1,FALSE,0.911,0.517,0.512,-8.186,0.00335,0.0629,0.127,4,114.999,0,225389,4
2,FALSE,0.797,0.488,0.824,-4.009,0.0131,0.0873,0.18,8,114.952,0,238732,4
2,FALSE,0.773,0.853,0.879,-6.017,0.00171,0.0333,0.0929,8,123.009,0,330594,4
2,FALSE,0.805,0.355,0.882,-6.754,0.000974,0.0373,0.0486,1,125.003,1,387085,4
2,FALSE,0.711,0.68,0.976,-5.931,0.00113,0.158,0.0733,1,120.008,0,594807,4
2,FALSE,0.649,0.708,0.547,-6.936,0.0111,0.105,0.0493,10,161.007,1,219827,4
2,FALSE,0.65,0.848,0.814,-5.052,0.00385,0.082,0.0817,5,127.003,0,302427,4
2,FALSE,0.728,0.698,0.821,-3.545,0.00018,0.076,0.0449,1,128.02,1,362987,4
2,FALSE,0.806,0.358,0.774,-4.162,0.00192,0.238,0.0535,0,129.022,0,377093,4
1,FALSE,0.588,0.442,0.261,-13.225,0.1,0.13,0.0975,1,118.13,1,212893,4
2,FALSE,0.32,0.527,0.782,-7.37,0.00203,0.39,0.374,8,78.05,1,304693,4
